,date,fertiliser_type,fertiliser_price,month_year,month,year,phosphate_price,urea_price,milk_price,gas_price,potassium_price
10975,2018-02-01,Compound 10-10-20,386.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10976,2018-02-01,Compound 14-7-14,368.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10977,2018-02-01,Compound 18-6-12,354.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10978,2018-02-01,Compound 24-2.5-10,368.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10979,2018-02-01,Compound 27-2.5-5,360.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10981,2018-02-01,Compound 8-5-18,373.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10982,2018-02-01,Compound 20-4-10,343.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10983,2018-02-01,Sulphate of Ammonia (21%),275.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10985,2018-02-01,Compound 10-5-25,378.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10986,2018-02-01,Compound 13-6-20,384.8356687898089,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10987,2018-02-01,Compound 15-3-20,355.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10989,2018-02-01,Compound 24-2.2-4.5,318.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10990,2018-02-01,Compound 19-0-15,334.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10991,2018-02-01,Compound 25-4-0,339.0,2018-02,2,2018,66.83,188.35,0.382,2.16,174.58
10992,2018-03-01,Calcium Ammonium Nitrate (27.5% N),261.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
10993,2018-03-01,Urea (46% N),359.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
10995,2018-03-01,Muriate of Potash (50% K),371.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
10996,2018-03-01,Compound 0-10-20,358.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
10997,2018-03-01,Compound 0-7-30,362.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
10998,2018-03-01,Compound 7-6-17,452.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
10999,2018-03-01,Compound 10-10-20,386.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
11000,2018-03-01,Compound 14-7-14,369.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
11001,2018-03-01,Compound 18-6-12,356.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
11002,2018-03-01,Compound 24-2.5-10,371.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
11003,2018-03-01,Compound 27-2.5-5,362.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
11005,2018-03-01,Compound 8-5-18,382.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
11006,2018-03-01,Compound 20-4-10,344.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
11007,2018-03-01,Sulphate of Ammonia (21%),274.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
11009,2018-03-01,Compound 10-5-25,371.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
11010,2018-03-01,Compound 13-6-20,384.8356687898089,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
11011,2018-03-01,Compound 15-3-20,356.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
11013,2018-03-01,Compound 24-2.2-4.5,319.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
11014,2018-03-01,Compound 19-0-15,333.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
11015,2018-03-01,Compound 25-4-0,338.0,2018-03,3,2018,68.66,188.47,0.343,2.19,174.69
11016,2018-04-01,Calcium Ammonium Nitrate (27.5% N),264.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11017,2018-04-01,Urea (46% N),355.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11019,2018-04-01,Muriate of Potash (50% K),368.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11020,2018-04-01,Compound 0-10-20,359.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11021,2018-04-01,Compound 0-7-30,363.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11022,2018-04-01,Compound 7-6-17,453.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11023,2018-04-01,Compound 10-10-20,388.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11024,2018-04-01,Compound 14-7-14,369.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11025,2018-04-01,Compound 18-6-12,359.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11026,2018-04-01,Compound 24-2.5-10,372.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11027,2018-04-01,Compound 27-2.5-5,363.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11029,2018-04-01,Compound 8-5-18,382.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11030,2018-04-01,Compound 20-4-10,349.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11031,2018-04-01,Sulphate of Ammonia (21%),285.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11033,2018-04-01,Compound 10-5-25,371.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11034,2018-04-01,Compound 13-6-20,384.8356687898089,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11035,2018-04-01,Compound 15-3-20,353.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11037,2018-04-01,Compound 24-2.2-4.5,328.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11038,2018-04-01,Compound 19-0-15,333.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11039,2018-04-01,Compound 25-4-0,338.0,2018-04,4,2018,71.69,187.88,0.321,2.26,175.55
11040,2018-05-01,Calcium Ammonium Nitrate (27.5% N),261.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11041,2018-05-01,Urea (46% N),347.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11043,2018-05-01,Muriate of Potash (50% K),360.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11044,2018-05-01,Compound 0-10-20,357.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11045,2018-05-01,Compound 0-7-30,361.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11046,2018-05-01,Compound 7-6-17,451.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11047,2018-05-01,Compound 10-10-20,387.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11048,2018-05-01,Compound 14-7-14,364.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11049,2018-05-01,Compound 18-6-12,353.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11050,2018-05-01,Compound 24-2.5-10,371.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11051,2018-05-01,Compound 27-2.5-5,363.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11053,2018-05-01,Compound 8-5-18,380.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11054,2018-05-01,Compound 20-4-10,345.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11055,2018-05-01,Sulphate of Ammonia (21%),281.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11057,2018-05-01,Compound 10-5-25,369.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11058,2018-05-01,Compound 13-6-20,384.8356687898089,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11059,2018-05-01,Compound 15-3-20,350.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
11061,2018-05-01,Compound 24-2.2-4.5,325.0,2018-05,5,2018,74.46,187.73,0.321,2.37,182.33
