,statistic,date,fertiliser_type,unit,value,month_year,month,year
212,Fertiliser Price,1980-09-01,Compound 24-2.2-10,Euro per Tonne,,1980-09,9,1980
213,Fertiliser Price,1980-09-01,Compound 24-2.2-4.5,Euro per Tonne,,1980-09,9,1980
214,Fertiliser Price,1980-09-01,Compound 19-0-15,Euro per Tonne,,1980-09,9,1980
215,Fertiliser Price,1980-09-01,Compound 25-4-0,Euro per Tonne,,1980-09,9,1980
216,Fertiliser Price,1980-10-01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,124.0,1980-10,10,1980
217,Fertiliser Price,1980-10-01,Urea (46% N),Euro per Tonne,167.0,1980-10,10,1980
218,Fertiliser Price,1980-10-01,Granular Superphosphate (16% P),Euro per Tonne,181.0,1980-10,10,1980
219,Fertiliser Price,1980-10-01,Muriate of Potash (50% K),Euro per Tonne,117.0,1980-10,10,1980
220,Fertiliser Price,1980-10-01,Compound 0-10-20,Euro per Tonne,148.0,1980-10,10,1980
221,Fertiliser Price,1980-10-01,Compound 0-7-30,Euro per Tonne,146.0,1980-10,10,1980
222,Fertiliser Price,1980-10-01,Compound 7-6-17,Euro per Tonne,170.0,1980-10,10,1980
223,Fertiliser Price,1980-10-01,Compound 10-10-20,Euro per Tonne,183.0,1980-10,10,1980
224,Fertiliser Price,1980-10-01,Compound 14-7-14,Euro per Tonne,173.0,1980-10,10,1980
225,Fertiliser Price,1980-10-01,Compound 18-6-12,Euro per Tonne,175.0,1980-10,10,1980
226,Fertiliser Price,1980-10-01,Compound 24-2.5-10,Euro per Tonne,168.0,1980-10,10,1980
227,Fertiliser Price,1980-10-01,Compound 27-2.5-5,Euro per Tonne,166.0,1980-10,10,1980
228,Fertiliser Price,1980-10-01,Sulphate of Potash (42% K),Euro per Tonne,,1980-10,10,1980
229,Fertiliser Price,1980-10-01,Compound 8-5-18,Euro per Tonne,,1980-10,10,1980
230,Fertiliser Price,1980-10-01,Compound 20-4-10,Euro per Tonne,,1980-10,10,1980
231,Fertiliser Price,1980-10-01,Sulphate of Ammonia (21%),Euro per Tonne,,1980-10,10,1980
232,Fertiliser Price,1980-10-01,Ammonium Sulphate Nitrate (26%),Euro per Tonne,,1980-10,10,1980
233,Fertiliser Price,1980-10-01,Compound 10-5-25,Euro per Tonne,,1980-10,10,1980
234,Fertiliser Price,1980-10-01,Compound 13-6-20,Euro per Tonne,,1980-10,10,1980
235,Fertiliser Price,1980-10-01,Compound 15-3-20,Euro per Tonne,,1980-10,10,1980
236,Fertiliser Price,1980-10-01,Compound 24-2.2-10,Euro per Tonne,,1980-10,10,1980
237,Fertiliser Price,1980-10-01,Compound 24-2.2-4.5,Euro per Tonne,,1980-10,10,1980
238,Fertiliser Price,1980-10-01,Compound 19-0-15,Euro per Tonne,,1980-10,10,1980
239,Fertiliser Price,1980-10-01,Compound 25-4-0,Euro per Tonne,,1980-10,10,1980
240,Fertiliser Price,1980-11-01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,124.0,1980-11,11,1980
241,Fertiliser Price,1980-11-01,Urea (46% N),Euro per Tonne,166.0,1980-11,11,1980
242,Fertiliser Price,1980-11-01,Granular Superphosphate (16% P),Euro per Tonne,191.0,1980-11,11,1980
243,Fertiliser Price,1980-11-01,Muriate of Potash (50% K),Euro per Tonne,121.0,1980-11,11,1980
244,Fertiliser Price,1980-11-01,Compound 0-10-20,Euro per Tonne,148.0,1980-11,11,1980
245,Fertiliser Price,1980-11-01,Compound 0-7-30,Euro per Tonne,146.0,1980-11,11,1980
246,Fertiliser Price,1980-11-01,Compound 7-6-17,Euro per Tonne,176.0,1980-11,11,1980
247,Fertiliser Price,1980-11-01,Compound 10-10-20,Euro per Tonne,185.0,1980-11,11,1980
248,Fertiliser Price,1980-11-01,Compound 14-7-14,Euro per Tonne,175.0,1980-11,11,1980
249,Fertiliser Price,1980-11-01,Compound 18-6-12,Euro per Tonne,176.0,1980-11,11,1980
250,Fertiliser Price,1980-11-01,Compound 24-2.5-10,Euro per Tonne,168.0,1980-11,11,1980
251,Fertiliser Price,1980-11-01,Compound 27-2.5-5,Euro per Tonne,165.0,1980-11,11,1980
252,Fertiliser Price,1980-11-01,Sulphate of Potash (42% K),Euro per Tonne,,1980-11,11,1980
253,Fertiliser Price,1980-11-01,Compound 8-5-18,Euro per Tonne,,1980-11,11,1980
254,Fertiliser Price,1980-11-01,Compound 20-4-10,Euro per Tonne,,1980-11,11,1980
255,Fertiliser Price,1980-11-01,Sulphate of Ammonia (21%),Euro per Tonne,,1980-11,11,1980
256,Fertiliser Price,1980-11-01,Ammonium Sulphate Nitrate (26%),Euro per Tonne,,1980-11,11,1980
257,Fertiliser Price,1980-11-01,Compound 10-5-25,Euro per Tonne,,1980-11,11,1980
258,Fertiliser Price,1980-11-01,Compound 13-6-20,Euro per Tonne,,1980-11,11,1980
259,Fertiliser Price,1980-11-01,Compound 15-3-20,Euro per Tonne,,1980-11,11,1980
260,Fertiliser Price,1980-11-01,Compound 24-2.2-10,Euro per Tonne,,1980-11,11,1980
261,Fertiliser Price,1980-11-01,Compound 24-2.2-4.5,Euro per Tonne,,1980-11,11,1980
262,Fertiliser Price,1980-11-01,Compound 19-0-15,Euro per Tonne,,1980-11,11,1980
263,Fertiliser Price,1980-11-01,Compound 25-4-0,Euro per Tonne,,1980-11,11,1980
264,Fertiliser Price,1980-12-01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,124.0,1980-12,12,1980
265,Fertiliser Price,1980-12-01,Urea (46% N),Euro per Tonne,167.0,1980-12,12,1980
266,Fertiliser Price,1980-12-01,Granular Superphosphate (16% P),Euro per Tonne,195.0,1980-12,12,1980
267,Fertiliser Price,1980-12-01,Muriate of Potash (50% K),Euro per Tonne,121.0,1980-12,12,1980
268,Fertiliser Price,1980-12-01,Compound 0-10-20,Euro per Tonne,148.0,1980-12,12,1980
