"STATISTIC","Statistic","TLIST(M1)","Month","C02136V02577","Product","UNIT","VALUE"
"AJM07","Manufacturing Milk Prices (including VAT)","201109","2011M09","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.365"
"AJM07","Manufacturing Milk Prices (including VAT)","201110","2011M10","1","Milk (per litre), actual fat and protein","Euro","0.4"
"AJM07","Manufacturing Milk Prices (including VAT)","201110","2011M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.372"
"AJM07","Manufacturing Milk Prices (including VAT)","201111","2011M11","1","Milk (per litre), actual fat and protein","Euro","0.409"
"AJM07","Manufacturing Milk Prices (including VAT)","201111","2011M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.385"
"AJM07","Manufacturing Milk Prices (including VAT)","201112","2011M12","1","Milk (per litre), actual fat and protein","Euro","0.384"
"AJM07","Manufacturing Milk Prices (including VAT)","201112","2011M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.367"
"AJM07","Manufacturing Milk Prices (including VAT)","201201","2012M01","1","Milk (per litre), actual fat and protein","Euro","0.375"
"AJM07","Manufacturing Milk Prices (including VAT)","201201","2012M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.368"
"AJM07","Manufacturing Milk Prices (including VAT)","201202","2012M02","1","Milk (per litre), actual fat and protein","Euro","0.369"
"AJM07","Manufacturing Milk Prices (including VAT)","201202","2012M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.361"
"AJM07","Manufacturing Milk Prices (including VAT)","201203","2012M03","1","Milk (per litre), actual fat and protein","Euro","0.347"
"AJM07","Manufacturing Milk Prices (including VAT)","201203","2012M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.343"
"AJM07","Manufacturing Milk Prices (including VAT)","201204","2012M04","1","Milk (per litre), actual fat and protein","Euro","0.319"
"AJM07","Manufacturing Milk Prices (including VAT)","201204","2012M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.315"
"AJM07","Manufacturing Milk Prices (including VAT)","201205","2012M05","1","Milk (per litre), actual fat and protein","Euro","0.298"
"AJM07","Manufacturing Milk Prices (including VAT)","201205","2012M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.294"
"AJM07","Manufacturing Milk Prices (including VAT)","201206","2012M06","1","Milk (per litre), actual fat and protein","Euro","0.297"
"AJM07","Manufacturing Milk Prices (including VAT)","201206","2012M06","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.294"
"AJM07","Manufacturing Milk Prices (including VAT)","201207","2012M07","1","Milk (per litre), actual fat and protein","Euro","0.294"
"AJM07","Manufacturing Milk Prices (including VAT)","201207","2012M07","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.293"
"AJM07","Manufacturing Milk Prices (including VAT)","201208","2012M08","1","Milk (per litre), actual fat and protein","Euro","0.307"
"AJM07","Manufacturing Milk Prices (including VAT)","201208","2012M08","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.298"
"AJM07","Manufacturing Milk Prices (including VAT)","201209","2012M09","1","Milk (per litre), actual fat and protein","Euro","0.344"
"AJM07","Manufacturing Milk Prices (including VAT)","201209","2012M09","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.316"
"AJM07","Manufacturing Milk Prices (including VAT)","201210","2012M10","1","Milk (per litre), actual fat and protein","Euro","0.375"
"AJM07","Manufacturing Milk Prices (including VAT)","201210","2012M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.328"
"AJM07","Manufacturing Milk Prices (including VAT)","201211","2012M11","1","Milk (per litre), actual fat and protein","Euro","0.388"
"AJM07","Manufacturing Milk Prices (including VAT)","201211","2012M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.345"
"AJM07","Manufacturing Milk Prices (including VAT)","201212","2012M12","1","Milk (per litre), actual fat and protein","Euro","0.364"
"AJM07","Manufacturing Milk Prices (including VAT)","201212","2012M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.345"
"AJM07","Manufacturing Milk Prices (including VAT)","201301","2013M01","1","Milk (per litre), actual fat and protein","Euro","0.369"
"AJM07","Manufacturing Milk Prices (including VAT)","201301","2013M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.362"
"AJM07","Manufacturing Milk Prices (including VAT)","201302","2013M02","1","Milk (per litre), actual fat and protein","Euro","0.368"
"AJM07","Manufacturing Milk Prices (including VAT)","201302","2013M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.358"
"AJM07","Manufacturing Milk Prices (including VAT)","201303","2013M03","1","Milk (per litre), actual fat and protein","Euro","0.353"
"AJM07","Manufacturing Milk Prices (including VAT)","201303","2013M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.351"
"AJM07","Manufacturing Milk Prices (including VAT)","201304","2013M04","1","Milk (per litre), actual fat and protein","Euro","0.357"
"AJM07","Manufacturing Milk Prices (including VAT)","201304","2013M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.359"
"AJM07","Manufacturing Milk Prices (including VAT)","201305","2013M05","1","Milk (per litre), actual fat and protein","Euro","0.374"
